Закон;Номер жалобы;Ссылка на жалобу;Статус;Решение;Предписание;Орган контроля;Заказчик;Заказчик ссылка;Лицо, подавшее жалобу;Поступление жалобы;Рассмотрение жалобы;Дата обновления;Извещение;Описание закупки;Идентификационный код закупки (ИКЗ);Решение документ
44-ФЗ (94-ФЗ);№ 202100187298008467;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168434;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО МОСКОВСКОЙ ОБЛАСТИ;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""МУНИЦИПАЛЬНЫЙ ЗАКАЗ""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=2159245;"ООО ""Круг Плюс""";24.11.2021;30.11.2021 15:50;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0848300058921000266;Выполнение работ по новогоднему праздничному и тематическому оформлению (монтаж и демонтаж новогодней ели, оборудования новогодней иллюминации парка, площади и здания МБУК «ЦДК им. М.И. Калинина» для организации и проведения культурно-массовых мероприятий в городе Королёве Московской области, НГ-2022);213501804052550180100100330014329244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1369752
44-ФЗ (94-ФЗ);№ 202100187298008439;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168371;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО МОСКОВСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""СОЛНЕЧНОГОРСКАЯ ОБЛАСТНАЯ БОЛЬНИЦА""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=2266481;ИП Пономарев Сергей Валерьевич;25.11.2021;30.11.2021 12:10;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=2400500000221000384;Оказание услуг по содержанию и комплексному техническому обслуживанию зданий и прилегающей территории ГБУЗ МО «Солнечногорская областная больница» в 2022 году;212504411967650440100105860018110000;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1369706
44-ФЗ (94-ФЗ);№ 202100187298008437;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168383;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО МОСКОВСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""МОСАВТОДОР""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=794956;"ООО ""Дюрэй Инжиниринг""";24.11.2021;30.11.2021 12:50;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0348200049721000343;Поставка товаров для осуществления деятельности по содержанию ЛНО (лот 3);212500000152550240100109400012740244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1369720
44-ФЗ (94-ФЗ);№ 202100187298008435;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168386;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО МОСКОВСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""ЕГОРЬЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=666061;ИП Аникин Павел Владимирович;24.11.2021;30.11.2021 13:30;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0348300004921000384;Оказание услуг по проведению комплекса санитарно-профилактических, противоэпидемических мероприятий (дератизация, дезинсекция, дезинфекция);213501101980650110100105460018129244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1369732
44-ФЗ (94-ФЗ);№ 202100187298008434;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168391;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО МОСКОВСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""МОСКОВСКИЙ ОБЛАСТНОЙ ГОСПИТАЛЬ ДЛЯ ВЕТЕРАНОВ ВОЙН""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=773317;"ООО ""АНТАРИС""";25.11.2021;30.11.2021 13:50;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0348200002921000050;"Поставка продуктов ЛОТ 2 для нужд государственного бюджетного учреждения здравоохранения Московской области ""Московский областной госпиталь для ветеранов войн""  на 2022 год";212504401088750440100101470010000244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1369736
44-ФЗ (94-ФЗ);№ 202100132489012004;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168344;Рассмотрена;Признана обоснованной;Предписание не выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО Г. МОСКВЕ;ПРЕДСТАВИТЕЛЬСТВО ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ПРИ ПРАВИТЕЛЬСТВЕ РОССИЙСКОЙ ФЕДЕРАЦИИ И В СУБЪЕКТАХ РОССИЙСКОЙ ФЕДЕРАЦИИ;https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=791520;ООО ЧОО «Илир-24»;24.11.2021;30.11.2021 10:45;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0187200004321000025;Оказание услуг охраны;212770409189677040100100990018010244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1369162
44-ФЗ (94-ФЗ);№ 202100116297003044;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168342;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО СТАВРОПОЛЬСКОМУ КРАЮ;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""АПАНАСЕНКОВСКАЯ РАЙОННАЯ БОЛЬНИЦА ИМЕНИ Н.И. ПАЛЬЧИКОВА""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=796188;ООО «АКВА»;24.11.2021;01.12.2021 10:00;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0321300143121000140;"Дезинфицирующие средства для нужд ГБУЗ СК ""Апанасенковская РБ"" на 1 полугодие 2022 года";212260200446126020100100560042020244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1368722
44-ФЗ (94-ФЗ);№ 202100132489012001;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168332;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО Г. МОСКВЕ;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ПЕДАГОГИЧЕСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=770884;ООО «Монолит»;24.11.2021;30.11.2021 11:15;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0373100116221000028;Выполнение работ по капитальному ремонту (замене) асфальтового покрытия и бортового камня на прилегающей территории МПГУ  (г. Москва, проспект Вернадского, д.88, д.88, корп. 1, 2, 3);211770407777177040100100340024211243;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1369389
44-ФЗ (94-ФЗ);№ 202100187298008406;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168283;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО МОСКОВСКОЙ ОБЛАСТИ;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЦЕНТРАЛИЗАЦИИ ЗАКУПОК""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=2140372;ООО «КРУГ ПЛЮС»;24.11.2021;30.11.2021 17:35;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0848300044521000310;"Оказание услуг по содержанию зеленых насаждений скверов и парков г/о Химки Московской области в осенний период для нужд МБУ ""КБиО"" в 2021 году";213504713127050470100101390018130244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1368420
44-ФЗ (94-ФЗ);№ 202100187298008405;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168280;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО МОСКОВСКОЙ ОБЛАСТИ;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЦЕНТРАЛИЗАЦИИ ЗАКУПОК""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=2140372;ООО «КРУГ ПЛЮС»;24.11.2021;30.11.2021 17:30;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0848300044521000309;"Оказание услуг по обслуживанию и содержанию скверов и парков г/о Химки Московской области для нужд МБУ ""КБиО"" в 2021 году";213504713127050470100101380018130244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1368415
44-ФЗ (94-ФЗ);№ 202100116297003041;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168202;Рассмотрена;Признана обоснованной;Предписание не выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО СТАВРОПОЛЬСКОМУ КРАЮ;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""СТАВРОПОЛЬСКИЙ КРАЕВОЙ КЛИНИЧЕСКИЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=789365;ООО «Адванта»;25.11.2021;02.12.2021 09:00;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0321200014121000705;Поставка изделий медицинского назначения;212263300166126360100109880012219244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1368709
44-ФЗ (94-ФЗ);№ 202100116297003037;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168200;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО СТАВРОПОЛЬСКОМУ КРАЮ;КОМИТЕТ СТАВРОПОЛЬСКОГО КРАЯ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ;https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=2171480;ООО «ФСК Монолит»;25.11.2021;01.12.2021 10:30;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0121200004721000824;"Выполнение  работ в рамках реализации проекта ""Прокладка второй нитки междугороднего канализационного коллектора Кисловодск - Ессентуки - Пятигорск"""": по инженерным изысканиям, разработке градостроительной, проектной, сметной и рабочей документации";212263620682926340100100370017112414;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1368798
44-ФЗ (94-ФЗ);№ 202100132976000771;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168196;Рассмотрена;Признана обоснованной;Предписание выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО РЕСПУБЛИКЕ ХАКАСИЯ;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ ХАКАСИЯ ""САЯНОГОРСКАЯ МЕЖРАЙОННАЯ БОЛЬНИЦА""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=679615;;24.11.2021;30.11.2021 10:00;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0380200000121006394;№ 0380200000121006394;;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1368941
44-ФЗ (94-ФЗ);№ 202100142543001592;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168176;Рассмотрена;Признана обоснованной;Предписание не выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО ПРИМОРСКОМУ КРАЮ;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИКО-САНИТАРНАЯ ЧАСТЬ № 98 ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=612441;ООО «Здравмедтех-Сибирь»;24.11.2021;30.11.2021 09:30;26.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0320100010221000156;Поставка средств индивидуальной защиты для нужд ФГБУЗ МСЧ № 98 ФМБА России;211250300586625030100101370011412244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1368539
44-ФЗ (94-ФЗ);№ 202100187298008400;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168151;Рассмотрена;Признана обоснованной;Предписание не выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО МОСКОВСКОЙ ОБЛАСТИ;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЛЕНИНСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ ""ЦЕНТР ТОРГОВ""";https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=2149729;ИП Меньшиков Роман Анатольевич;23.11.2021;29.11.2021 16:30;25.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0848300048421000683;Оказание услуги по организации и содержанию ледового катка в г. Видное на территории СОШ 10 вблизи ул. Завидная 5;213500311951850030100100100019311244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1368444
44-ФЗ (94-ФЗ);№ 202100114959011926;https://zakupki.gov.ru/epz/complaint/card/complaint-information.html?id=2168139;Рассмотрена;Признана обоснованной;Предписание не выдано;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО САНКТ-ПЕТЕРБУРГУ;АДМИНИСТРАЦИЯ ВАСИЛЕОСТРОВСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=672112;ООО «СБ-Сервис»;24.11.2021;30.11.2021 13:40;25.11.2021;https://zakupki.gov.ru/epz/order/notice/view/common-info.html?regNumber=0172200002321000172;Выполнение работ по монтажу автоматической системы пожарной сигнализации и системы оповещения управления эвакуацией людей при пожаре;212780113667078010100100090010000244;https://zakupki.gov.ru/controls/documentIcrDownload?documentId=1369745
